title,bestsellers_rank
After the Break : Television Theory Today,3586486.00
On Latin Adverbs,3579654.00
Feeling Asian Modernities - Transnational Consumption of Japanese TV Dramas,3569736.00
"Lexikon der alteren germanischen Lehnwoerter in den ostseefinnischen Sprachen, Band III : P-AE",3567995.00
The Real (Arab) World: v. 2,3567310.00
Multi-verb Constructions : A View from the Americas,3565119.00
The Noun Phrase in Ancient Greek : A Functional Analysis of the Order and Articulation of NP Constituents in Herodotus,3564946.00
Ghost Journal,3555958.00
Handbook of Generative Approaches to Language Acquisition,3546984.00
Ghost Stories of Arizona and New Mexico,3546676.00
